FID	IID	CLUSTER
1	"SS_187	"	Kalispell_ST5R
1	"SS_188	"	Kalispell_ST5R
1	"SS_189	"	Kalispell_ST5R
1	"SS_190	"	Kalispell_ST5R
1	"SS_191	"	Kalispell_ST5R
1	"SS_192	"	Kalispell_ST5R
1	"SS_193	"	Kalispell_ST5R
1	"SS_194	"	Kalispell_ST5R
1	"SS_195	"	Kalispell_ST5R
1	"SS_196	"	Kalispell_ST5R
1	"SS_197	"	Kalispell_ST5R
1	"SS_198	"	Kalispell_ST5R
1	"SS_199	"	Kalispell_ST5R
1	"SS_200	"	Kalispell_ST5R
1	"SS_201	"	Kalispell_ST5R
1	"SS_202	"	Kalispell_ST5R
1	"SS_203	"	Kalispell_ST5R
1	"SS_204	"	Kalispell_ST5R
1	"SS_205	"	Kalispell_ST5R
1	"SS_206	"	Kalispell_ST5R
1	"SS_207	"	Kalispell_ST5R
1	"SS_208	"	Kalispell_ST5R
1	"SS_209	"	Kalispell_ST5R
1	"SS_210	"	Kalispell_ST5R
1	"SS_211	"	Kalispell_ST5R
1	"SS_212	"	Kalispell_GRBD
1	"SS_213	"	Kalispell_GRBD
1	"SS_214	"	Kalispell_GRBD
1	"SS_215	"	Kalispell_GRBD
1	"SS_216	"	Kalispell_GRBD
1	"SS_217	"	Kalispell_GRBD
1	"SS_219	"	Kalispell_GRBD
1	"SS_220	"	Kalispell_GRBD
1	"SS_221	"	Kalispell_GRBD
1	"SS_222	"	Kalispell_GRBD
1	"SS_223	"	Kalispell_GRBD
1	"SS_224	"	Kalispell_GRBD
1	"SS_225	"	Kalispell_GRBD
1	"SS_226	"	Kalispell_GRBD
1	"SS_227	"	Kalispell_GRBD
1	"SS_228	"	Kalispell_GRBD
1	"SS_229	"	Kalispell_GRBD
1	"SS_230	"	Kalispell_GRBD
1	"SS_231	"	Kalispell_GRBD
1	"SS_232	"	Kalispell_GRBD
1	"SS_233	"	Kalispell_GRBD
1	"SS_235	"	Kalispell_GRBD
1	"SS_236	"	Kalispell_GRBD
1	"SS_237	"	Kalispell_GRBD
1	"SS_238	"	Kalispell_GRBD
1	"SS_239	"	Kalispell_GRBD
1	"SS_240	"	Kalispell_GRBD
1	"SS_241	"	Kalispell_GRBD
1	"SS_242	"	Kalispell_GRBD
1	"SS_243	"	Kalispell_GRBD
1	"SS_244	"	Kalispell_GRBD
1	"SS_245	"	Kalispell_GRBD
1	"SS_246	"	Kalispell_GRBD
1	"SS_247	"	Kalispell_GRBD
1	"SS_248	"	Kalispell_GRBD
